,titulo,data,empresa,localizacao,descricao
83,Desenvolvedor IOS,13/05/2020,G&P Projetos e Sistemas,"Taboão da Serra, State of São Paulo, Brazil","
         Conhecimentos técnicos IOS:  Swift 4 e 5, Objective C - Cocoapods  Controle de Versionamento  Automação de Publicação (Fastlane)  Testes Unitários  Push Notifications  Mapas - Coredata/Realm Publicação de aplicativos na Apple Store. 
 Regime de contratação: CLT Full + benefícios 
 Local - Taboão da Serra/SP 
 É oferecido fretado e tem estacionamento no local. 
    "
84,Desenvolvedor .net,13/05/2020,G&P Projetos e Sistemas,São Paulo,"
         ASP, ASP.NET, .Net. C#, VB.Net, Bibliotecas Google, C# Windows Services.  Controle de cache usando Redis;  Criação de relatórios usando Reporting Services;  DHTML, HTML, HTML5 e CSS3, Javascript, VBscript, MOF, ODBC, SOAP, UML, VBScript, WPF, XML. 
 Diferencial: 
 Angular, React, Vue, Bootstrap Docker  Elastic Search 
 Regime de Contratação: CLT Full + Benefícios 
 Local de Trabalho: Centro / SP 
    "
85,Desenvolvedor Java Sr,13/05/2020,EMPREGARE.com,"Brasilia - Federal District, Brazil","
          Horário: De segunda à sexta    Contratação: Efetivo – CLT    Nível: Profissional    Descrição:   Desenvolvimento de demandas Java.   Requisitos:    O que é imprescindível para nós?    - Conhecimento em em NodeJS  - Conhecimento em JavaScript (ES6+)  - Conhecimento em HTML5  - Conhecimento em CSS3  - Conhecimento em TypeScript  - Conhecimento em Rest, SVN e bancos de dados Oracle, SQL Server   O que será um diferencial para nós?   - Flexibilidade para trabalhar com projetos novos e legados;   Requisito obrigatório:   - Graduação completa em Ti  É importante pra gente você conhecer o que fazemos e como sugestão segue o link da nossa página https://www.globalwebcorp.com.br/o-que-fazemos/   Diante do atual cenário que estamos vivendo, o trabalho será remoto e vamos seguindo conforme recomendações e tudo ficar calmo.          Benefícios: Assistência médica, Assistência odontológica, Day Off, Flexibilidade de Horário, Seguro de Vida, Vale-alimentação, Vale-refeição  
    "
86,Designer UI/UX Topster,13/05/2020,Proft,"São Paulo, Brazil","
         Somos a Proft, startup que resolve um grande problema dos vendedores das lojas do varejo que está sendo acelerada no Google! 
 Hoje temos o hustler com grande expertise no mercado, um hacker que programa desde os 7 anos de idade e estamos na procura do hipster para desenvolver nossa identidade e fazer história com a Proft. 
 Atualmente estamos com o MVP finalizado, e precisamos de alguém com conhecimento em UI/UX para contribuir na aceleração do nosso produto final, além de trabalhar em um dos ambientes mais inovadores e colaborativos do Brasil, com mentorias constantes possibilitando uma experiência única na carreira profissional. 
  Atividades e Responsabilidades 
 Estamos resolvendo uma treta que os vendedores passam diariamente, pra isso, será fundamental: - Desenvolver o design das telas futuras de nossa plataforma; 
 - Criação das artes para mídias de comunicação; 
 - Basicamente cuidar da nossa identidade visual 🙏🏻 
   
 Requisitos 
 - Desejável prévia experiência e com um...
    "
87,Arquiteto de Soluções,13/05/2020,Mooven Consulting,São Paulo,"
         A Mooven Consulting é uma consultoria de agilidade em franca expansão no Brasil e na América Latina, com atuação em grandes empresas de diferentes indústrias. 
 Para gerar grandes resultados combinamos estratégia, design, agilidade e tecnologia, criando soluções inovadoras e personalizadas. 
 Essa é uma oportunidade para você crescer e expandir seus conhecimentos, em um grande desafio:  procuramos Arquiteto de Soluções Java para atuar na região da Faria Lima - SP  
    O que esperamos de você:  
  Formação superior completa em engenharia, ciências da computação ou áreas relacionadas 
 Experiência em desenho de Arquiteturas Web/Mobile com utilização de APIs 
 Atuação com foco em sistemas de missão crítica e alta performance 
 Experiência comprovada da entrega de projetos utilizando API/Microservices 
 Experiência em Arquitetura Cloud (serviços FaaS, SaaS, PaaS e IaaS, como Amazon Web Services (AWS), Azure ou Google Cloud) 
 Conhecimento com a AWS cloud: EC2, ELB, S3, CloudWatch,...
    "
88,Analista de Requisitos/Negócios Sênior,13/05/2020,Essence IT,São Paulo,"
         Ter atuado com mapeamento de processos, Levantamento de requisitos, elaboração de especificações utilizando UML, escrita de user stories e protótipos de telas. Conhecimento em metodologia ágil SCRUM, participar das cerimônias: Planning, Daily, Review e Retrospectiva. Traduzir as necessidades dos projetos para o time de desenvolvimento. Conhecimentos: Scrum, UML, Modelagem de Dados, Modelagem de Processos, RUP, SQL Server, RTC Doors, Jira; Projeto por tempo indeterminado; Início remoto, após a quarentena será presencial. Atuação na região da Faria Lima - São Paulo/SP 
    "
89,Desenvolvedor Front-End Angular Sênior,13/05/2020,Essence IT,"Barueri - State of São Paulo, Brazil","
         Experiência em desenvolvimento Front-end: Angular,HTML5,CSS3,FLEXBOX,SASS,JQUERY; Ter trabalhado com sistemas web, preferencialmente: e-commerce, pagamentos; Projeto por tempo indeterminado; Início remoto, após a quarentena será presencial. Atuação em Barueri/SP. 
    "
90,Desenvolvedor Full Stack,13/05/2020,Domvs Service It,"Brasilia - Federal District, Brazil","
          Competências essenciais:  
  .Net C#, .Net Core, Entity Framework, WebAPI,  Angular+2 
 Scrum, Unit Test, SOAP, REST, Design Patterns 
 Experiência em projetos Web (Sites, Hotsites, Plataformas, Intranets, E-commerce, Integradores) 
 Microsoft Azure e DevOps 
 NodeJS, Mongo DB 
 Integração contínua, TDD, DDD 
 Serviços PAAS (Service BUS, API manager, Redis) 
 SQL Server 
 NoSQL 
 PHP (Intermediário) 
 Drupal (Básico) 
   Benefícios:  
 VR/ VT/ Convênio Médico/ 1/2 Estacionamento/ Auxílio Educação (mediante aprovação). 
  LOCALIZAÇÃO: BRASÍLIA - DF  
    "
91,Programador Mobile,12/05/2020,RecrutaSimples,"São Paulo, State of São Paulo, Brazil","
        Programação de Aplicativo Mobile utilizando para isso os conceitos de lógica de programação em linguagem: C#, Java, Swift e Objective C.  Experiência em aplicativos mobile para as plataformas iOS e Android.   Benefícios: Vale Transporte   Requisitos Necessários:  Necessário conhecimento em Unity 3D. Linguagem Nativa Google Flutter
    "
92,Desenvolvedor Web Pleno,12/05/2020,RecrutaSimples,"São Paulo, State of São Paulo, Brazil","
        Trabalho em São Paulo – Aclimação (Zona Sul)  Horário: 2ª a 6 ª das 9h00 às 18h00  Disponibilidade: Imediata  Conhecimento    Framework (front):  Angular, Bootstrap, Laravel    Linguagens (back end):  PHP  JavaScript  Banco de Dados MySQL  Familiarizado com JSON e XML  NODE JS   Benefícios: Vale Transporte   Requisitos Necessários:  Experiência com banco de dados
    "
93,Desenvolvedor Angular - HOME OFFICE,12/05/2020,RecrutaSimples,"São Paulo, State of São Paulo, Brazil","
        Somos uma Fintech – Temos como missão proporcionar aos nossos usuários e clientes a melhor experiência possível, ajudando-os a investir cada vez mais e melhor. Nosso lema é a transformação através da tecnologia, e o nosso campo de atuação é o mercado financeiro. Aqui você terá a oportunidade de aprender, crescer, se desenvolver e quem sabe... Até se tornar nosso sócio!  O desenvolvedor irá trabalhar com Angular, Typescript (services, components, pipes, entre outros) e integrações com APIs REST para autenticação de usuários e desenvolvimento de sistemas do mercado financeiro.  Diferencial:     - Já ter trabalhado com gráficos interativos (Highcharts, D3);     - Ter vivência do mercado financeiro, especialmente na área de investimentos  Atuação será 100% remota. Modelo de contratação: CLT Benefícios: Plano de Saúde, Seguro de Vida, Vale Refeição ou VA.   Benefícios: Vale Transporte, Vale Alimentação, Assistência Médica, Seguro de Vida   Requisitos Necessários:  Necessário domínio em...
    "
